Gene Start (bp)	Associated Gene Name
7291095	RNU6-521P
190903678	TUBB7P
119243416	RP11-334E6.3
30836307	AC004691.5
21342464	RP11-219E7.2
21544266	CTB-31N19.2
104519014	RNA5SP370
2181009	INS
31158898	AC006466.5
37288420	CTD-2162K18.5
64900946	RP11-439H13.2
190936293	5S_rRNA
7539784	RBMY2HP
34488982	RP11-428O23.1
92221722	SLC26A7
31356612	AC006380.1
141438121	SSBP1
190938851	5S_rRNA
21366144	RP11-219E7.4
31370325	RP11-463M14.1
119252488	USP2-AS1
21384925	RP11-84C10.3
31454259	AC006380.3
34510615	AC131056.3
62612488	PRPF6
104564173	RP11-818F20.4
21387500	RP11-84C10.2
29974877	RNF39
31833862	AC006377.1
104656092	RP11-818F20.5
31965200	CYP21A2
8775486	CAV3
31980874	SNX2P2
7546940	AC007274.2
37349129	Y_RNA
5986736	CRLS1
21431738	RN7SL189P
32496575	AC018641.7
74939367	ZDHHC20P3
20708557	HSFY1
37392644	RPL31P61
21451314	RP11-84C10.1
34552690	AC131056.5
809647	RPLP2
74971171	CTD-2562J17.7
104659056	RPL18AP3
34569147	YWHAEP6
21463996	RP11-84C10.4
101318727	MIR770
74975333	CTD-2562J17.9
32511125	SLC25A5P5
36726531	RN7SKP227
34746595	CTB-91J4.3
34581086	TBC1D3H
101335397	MIR493
75046136	MIR326
37566015	CTD-2293H3.2
38378450	RIPPLY3
34773400	RNU6-1192P
101340830	MIR337
75111435	SNORD15A
36808608	HSPD1P6
34847043	RNA5SP439
32620561	DPY19L1P1
32694108	AC139426.2
119273502	RP11-334E6.2
37582243	CTD-2293H3.1
75115465	SNORD15B
101341370	MIR665
149737610	RP11-545G3.1
37619581	CTC-454I21.4
11984653	DKK3
75217982	RP11-939C17.4
101347344	MIR431
34930301	CTB-75G16.1
7555780	TSPY12P
101348220	MIR433
119274673	RP11-334E6.4
45947246	AL031666.2
75294241	CTD-2530H12.4
101349316	MIR127
119288661	RP11-334E6.12
37742814	AC012309.5
101350820	MIR432
75307189	CTD-2530H12.8
60102304	MS4A6E
150038860	RP4-584D14.7
101351034	MIR136
78624861	RP1-164L12.1
119315701	DUXAP5
75346928	CTD-2530H12.7
141337893	RNF14
150060866	RP4-584D14.5
51752930	TTC39A
38472331	RP11-297L6.2
119473587	KRT8P7
104907807	RP11-43D4.2
7554352	AC084121.14
75353645	CTD-2530H12.5
150076943	RP4-584D14.6
104985411	MIR3922
32768181	ZNRF2P1
131018108	GOLGA2
32737307	GOLGA8O
79528830	CHMP1B2P
101361107	MEG8
75453174	RN7SL786P
34990527	CTB-75G16.3
38475848	RP11-297L6.1
190942562	AF146191.7
90106169	URAHP
75469500	CTD-2530H12.1
190959071	RARRES2P4
119479135	RP11-196E1.3
150130742	LINC00996
35041203	CTD-3194G12.1
53831	AL592183.1
190962497	U85056.1
17818169	RAI2
85849137	CADM2-AS2
68595131	IL26
35078894	CTD-3194G12.2
75486949	CTD-2530H12.2
71331454	NEUROG3
190979057	U85056.2
144386554	TOP1MT
7562704	OR7E154P
86041333	CADM2-AS1
8478154	MARCH2
75511922	RP11-535A19.1
38555268	RNA5SP358
35218935	RP11-445F12.1
119527021	RNU6-1123P
86061711	PRKRIRP2
38557205	RNA5SP359
55738007	TMEM86B
119580630	CTD-2523D13.1
37756841	CTD-3220F14.1
150181149	RP11-511P7.4
38595368	TUBB8P5
25305587	THNSL1
190981535	U85056.5
64969445	SNORD83
7558552	AC007274.5
190986386	U85056.3
7572965	FAM90A14P
119600293	CTD-2523D13.2
150209647	STRADBP1
64992858	RP11-338E21.1
75514476	RP11-535A19.2
101369934	AL117190.1
190989171	hsa-mir-8078
105245602	Y_RNA
150238842	ALDH7A1P3
30015058	TRIM31
105345538	AC090051.1
65016289	MIR548C
65703198	CTD-2509G16.5
150300649	RP11-632K21.7
71390007	C10orf35
191116882	ABC7-42391500H16.2
7567398	TTTY16
107268998	WBP1LP2
65022124	RP11-338E21.2
37828138	CTD-3220F14.2
119692013	RP11-215D10.1
86174366	snoZ40
65047840	RP11-338E21.3
37978901	CTD-2086O20.3
105370527	KRT18P20
65733356	RPL21P7
38431470	PIGP
86284471	RNU6-1129P
150311149	RP11-632K21.3
206808881	DYRK3
35297346	RP11-445F12.2
107283210	BANF1P5
86313705	RP11-789F5.1
65153301	RP11-629N8.3
90168679	FAM157C
119858663	RP11-831A10.2
150373921	RP11-632K21.6
65735547	CTD-2509G16.1
25000469	LGI2
86411282	RN7SKP284
137510815	RP11-2A4.4
35337466	RP11-333J10.2
51679667	HNRNPA1P48
107294421	SLC26A4-AS1
7581026	RFTN1P1
37988063	CTD-3064H18.1
86531093	RP11-331K15.1
91342745	PANK1
137599137	HSPA8P9
65745985	PTBP1P
150443981	RP5-1051J4.6
35355897	RP11-333J10.3
87100342	PPATP1
71244588	CPSF4L
54891495	NCKAP1L
144094333	NOBOX
137723491	RP11-461M2.2
36921675	AC011816.1
8792094	OXTR
35391042	MIR2909
32772593	MIR550A2
119879313	RP11-831A10.1
137820320	KRT8P36
87275339	MIR4795
35391965	CTC-268N12.3
107383262	AC002467.7
32798494	RP11-225B17.2
65801835	MIR4708
75546260	Y_RNA
87372418	KRT8P25
62073431	RP11-214C8.2
75548589	Y_RNA
120120468	RP11-778O17.4
65934525	RPL21P8
32827946	RP11-225B17.1
87643988	APOOP2
150446824	RP5-1051J4.4
75622248	PPP1R1AP1
35402760	CTC-268N12.2
47191	AL592183.7
32831426	SNORA31
21549808	CTB-31N19.4
65937820	MIR625
87679451	PSMC1P6
18181051	BEND2
37994808	CTD-3064H18.2
107449179	PIGCP2
21598948	SCARNA6
136227290	SURF1
75625245	RP11-263C24.1
47653220	NXPH3
87780552	RP11-451B8.1
32852369	DPY19L1P2
65995548	EIF1AXP2
21638063	CTB-31N19.3
107582561	CTB-13F3.1
79784536	HNRNPH3P1
75645980	RNA5SP344
38036372	CTD-3064H18.4
35497536	RP11-19G24.1
65154648	snoU13
21653375	RNU6-1005P
107640237	U3
75653173	RP11-263C24.3
65261736	RPL7P39
66346310	CTD-2014B16.1
21653615	RNU6-196P
72873428	FADS6
120490643	TCEB1P22
107677291	AC005048.1
126490354	FAM175B
25463991	GPR158
79815645	RP11-325E14.2
21805416	RP11-645C24.5
51705147	RN7SKP142
107998751	AC007567.1
3848208	RHOG
75848359	CTD-2011F17.2
66367650	CTD-2014B16.2
40165622	MPLKIP
65277174	RP11-766N7.3
108150677	RPL7P32
60145955	MS4A7
24122089	GALE
71444655	RP11-242G20.1
79827370	HK2P1
51796430	RP11-7O14.1
75901769	RP11-619A14.2
120738642	RP11-640N11.2
66478359	AL391261.1
108238819	AC005487.2
120806811	HMGB1P42
80708840	SSBP2
138362716	RP11-79L9.2
66479548	YBX1P1
75922000	RP11-619A14.3
79965427	RP11-325E14.5
21807951	RRN3P1
38039816	ZNF571-AS1
108361052	CTA-369K23.1
121109013	RP11-775A1.2
66628544	TIPIN
10492456	GCNT2
65314625	RP11-766N7.4
30184597	ASCC2
138496674	GAPDHP39
108549510	AC004014.3
76100692	RP11-111M22.4
52112534	RP11-152O14.4
30040743	TRIM40
66578299	RP11-783L4.1
101377476	MIR370
121675497	CAMKK2
138515693	RPL23AP40
121120979	RPS4XP12
76103240	RP11-111M22.5
101382173	SNORD112
52116977	LINC00919
90171503	RP11-356C4.3
101383915	SNORD112
76115184	Y_RNA
101391161	SNORD113-1
68642022	IL22
90176982	RP11-356C4.5
76152382	RP11-111M22.3
32774822	AC135983.2
121232559	BMPR1APS2
7580613	FAM90A18P
848041	GNG13
76302067	RP11-672A2.7
71279763	CDC42EP4
90211000	RNU6-355P
77893018	VIPAS39
29916333	KCTD13
136537489	SLC35G2
176040986	ATP5G3
121297354	RP11-142I2.1
52119192	RP11-152O14.1
88427623	C12orf29
105466264	RP11-61E11.1
121318040	RP11-730K11.1
163853	AL592183.6
52231924	RP11-142G1.3
164278	AL592183.2
112196919	SRP19
105496250	RP11-61E11.2
62223330	SNORA76
52271994	RP11-142G1.1
58430368	AQP9
121875063	RNU6-256P
168106	AL592183.3
64216546	AP003774.4
171364	AL592183.5
105698645	RP11-474B16.1
42695176	ZBTB47
31471969	AL662847.1
62223443	SNORD104
32885657	GOLGA8N
173994	AL592183.4
105721684	AC011313.1
62385676	RPL31P57
21026677	DHRS7B
31483952	MCCD1
7672965	TTTY12
101392317	SNORD112
66384053	RBM14
106097981	CASC18
62487640	AC138744.2
101393679	SNORD113-2
101396256	SNORD113-3
229715242	PID1
173114074	NLGN1
855443	PRR25
101402828	SNORD113-4
121899063	RP11-166D19.1
7721727	ZNF92P1Y
44444615	B4GALT2
30056560	TRIM10
65332803	RNU6ATAC42P
37009682	RNU6ATAC4P
57046668	AC005498.4
37014608	RP11-129K12.1
126630692	ZRANB1
37017807	PRADC1P1
18257434	SCML2
106409675	ST13P3
206858289	MAPKAPK2
101403738	AL132709.5
8817088	RAD18
57047525	AC005498.3
7781463	ZNF736P8Y
37026534	RP11-129K12.4
7801038	BPY2DP
37027357	RP11-129K12.3
160769300	SLC22A3
106444739	RP11-114F10.2
3875757	STIM1
20893326	HSFY2
55738587	AC010327.2
64323098	SLC22A11
80112575	ACA64
57056935	AC007228.11
32885006	RP11-265E18.1
80156256	RNU6-493P
30889843	SFTA2
80184999	VDAC1P1
6021424	LRRN4
88853918	FAM35A
57100863	SIGLEC31P
230222345	DNER
80191933	RNU6-995P
32956427	RP9P
80496319	AL357115.1
47978401	KPTN
33021645	HLA-DPB1
80618767	RP11-346E8.1
29523343	GABBR1
57125178	AC007228.8
80664437	RP13-52K8.1
21051051	RNASE11
19338891	C22orf39
35500531	HMGB1P24
57183636	AC007228.5
57183942	AC007228.9
110890289	GPN3
46130601	NCOA3
55741148	PPP6R1
62496891	MIR3064
89136653	NPAP1P3
62497332	MIR5047
57202054	AC006115.3
39601254	ADAM2
62526893	AC009994.2
62568947	RP11-87N3.6
7745232	ITIH2
30899496	DPCR1
2185159	TH
89146442	CTSLP1
62679076	SOX18
62743382	MINOS1P2
58702768	LIPC
24432002	AQP4
121970465	MIR125B1
47676246	SPOP
94727048	FAM81B
903634	LMF1
122017229	MIRLET7A2
65411248	RP11-168J19.2
141205889	RASA2
62745781	hsa-mir-6080
141463897	TAS2R3
122022937	MIR100
65489529	RNU6-166P
57230571	AC006115.1
108634088	AC004014.4
65528468	APOOP3
57272301	OR5AH1P
134257831	C10orf91
40174575	SUGCT
7859028	ZNF736P7Y
21051054	RNASE11
66644245	Y_RNA
108962377	AC002386.1
122026130	RP11-820L6.1
25833294	SLC17A3
57304416	AC006115.6
66679528	RP11-72M17.1
6055492	FERMT1
109162038	AC073071.1
106496941	RP11-114F10.3
7588261	FAM90A16P
66384097	RBM4
57352270	MIMT1
109300151	AC073387.2
136581050	NCK1
113682984	KIAA1407
141478242	TAS2R4
57433386	CTC-258N23.3
170314426	NEK1
38938021	RICTOR
72912176	USH1G
62746036	RP13-104F24.1
7595909	FAM90A8P
36047926	MAB21L1
76336506	RP11-672A2.6
57576702	RPL7AP69
156887027	NIPAL4
76339140	RP11-672A2.5
141490017	TAS2R5
52656462	GSTA1
76365213	RP11-672A2.4
122165646	RP11-716H6.1
89156780	LINC00864
120181462	GLUD2
76368100	AP001189.4
122165898	RP11-716H6.2
57645418	U3
57661881	CTC-360J11.5
122319918	RNU4ATAC10P
19419425	MRPL40
89167801	RP11-399L7.3
76386123	RP11-672A2.3
122322182	RNU4ATAC5P
57662955	CTC-360J11.6
122449913	RNU6-592P
106563782	RP11-185N2.1
89322845	Y_RNA
57686601	CTC-360J11.4
89351364	RP11-57C13.4
122484152	GLULP3
7936937	ZNF736P9Y
89367742	RP11-57C13.6
66798034	RP11-166O4.6
57772722	CTC-444N24.8
89369920	RP11-57C13.3
122489559	RP11-266E8.2
80855571	XXyac-YR12DB5.1
66800963	RP11-166O4.5
66953072	LINC00238
57778588	CTC-444N24.6
122596916	snoU13
66821667	AC006480.1
122797742	RNU4-23P
57815673	CTC-444N24.11
50355221	HYAL2
29746267	SVIL
106639391	RP11-651L5.2
67092818	RP4-736H5.1
122831035	ATP5F1P5
142013007	TRBV4-1
106676705	RNU7-94P
35519530	RP11-19G24.2
15523032	DTNBP1
67093009	RP4-736H5.2
107074536	RP11-482D24.2
57828576	CTC-444N24.9
81256669	RNU6-974P
122888346	RP11-335F8.2
67156045	RP4-736H5.3
142020496	TRBV5-1
30067805	TRIM15
81753118	RP4-581F12.1
57862216	CTC-444N24.13
206940947	IL10
67234616	RP11-421N10.1
66507921	PRKAR1A
18443703	CDKL5
122906575	RPL34P23
57971280	VN1R107P
90252405	AC137934.1
30575727	MRPS18B
67485240	RP11-358M3.1
2767746	GNA12
142028121	TRBV6-1
57989017	AC003005.2
81761883	RPL22P22
35743821	RP11-378E13.3
122920495	RPS26P43
7995171	RBMY2JP
35768023	RP11-378E13.4
58136400	AC003682.16
67556210	RP5-945F2.2
142032006	TRBV7-1
35814273	CTC-421K24.1
8509651	HNRNPM
67562724	RP5-945F2.1
158288952	MLF1
122921869	RPL31P47
58175648	AC003682.17
103544200	MGEA5
142045252	TRBV4-2
58249833	AC003006.1
35969787	RP11-697E22.1
122928785	SNORD14E
27650657	NRBP1
44058844	L34079.2
67615270	RP5-945F2.3
58337829	AC010522.1
122929617	SNORD14D
142049015	TRBV6-2
36002976	RP11-697E22.2
122930043	SNORD14C
38184181	CTD-2528L19.3
67706624	RP11-521C10.1
123006631	RP11-762B21.5
38219487	CTD-2528L19.6
142062481	TRBV4-3
7603556	FAM90A17P
67731306	MTND4P3
36009162	RP11-697E22.3
123059510	CTD-2216M2.1
36105206	RP11-115K3.1
142070668	TRBV6-3
38270326	CTD-2554C21.1
36345478	DCLK1
68105785	RP5-859M6.1
19230433	DENND4C
36158869	AC091199.1
123172098	U8
37058011	RPL29P11
153607557	EMD
142074311	TRBV7-2
123184382	RP11-109E10.1
36187925	YWHAEP7
134351324	INPP5A
68188898	RNA5SP231
44080952	PINLYP
38307999	CTD-2554C21.2
68505139	RP11-123O1.1
142102303	TRBV6-4
62681189	TCEA2
37134624	Y_RNA
64889655	MRPL49
68590257	RNU6-832P
126676421	CTBP2
160952515	LPA
123210882	RP11-109E10.2
37176149	UBE2D3P2
68652820	RP11-3P22.1
142105845	TRBV7-3
68655128	AC069280.1
68689683	RP11-3P22.2
107108702	RP11-482D24.3
150709297	ATG9B
142110713	TRBV5-3
123252148	MIR4493
21058352	RNASE12
123325106	LINC01059
142113402	TRBV9
21492331	AL161668.5
38314362	AC016582.2
68795684	RP11-666G4.2
123468654	SF3A3P2
32907345	ARHGAP11A
142121373	TRBV10-1
68796821	RP11-666G4.1
21108855	OR6S1
21558546	RP11-998D10.7
123539207	RP11-634B22.4
122318006	GRIA3
75947391	COX7A2
72920370	OTOP2
21576202	RP11-998D10.4
150521897	AL356356.1
81816650	SNORA4
123579381	AP000868.1
142129179	TRBV11-1
35265595	DEF6
123634635	RNU1-21P
82130657	RP5-849L7.1
68866188	RNU6-229P
123711714	OR6M2P
21578454	RP11-998D10.5
68972496	Y_RNA
69001035	RN7SL371P
142146452	TRBV10-2
41098789	LTBP4
38320191	CTD-2554C21.3
123732530	OR6M3P
82253707	ATG4AP1
141536086	PRSS37
69060944	RP5-942I16.1
128278072	RP11-749H20.1
38454493	CTC-244M17.1
142172447	TRBV6-5
206972215	IL19
21152259	RNASE4
123880362	OR10G5P
82761031	RP3-326L13.2
128361544	RP11-749H20.3
38544518	AC011465.1
70302724	RP11-575M4.1
21581798	RNU6-252P
111126707	C11orf53
38599140	CTC-450M9.1
82766304	RP3-326L13.3
150533480	ADAMTSL4-AS1
142176673	TRBV7-4
21630672	CTD-2552B11.2
128366162	RP11-749H20.4
42705021	ZNF106
38675016	CTB-102L5.7
70772658	MIR3914-1
42727011	KLHL40
142184418	TRBV5-4
144149034	TPK1
38690476	CTB-102L5.8
21652500	CTD-2552B11.3
70775445	AC079398.1
19437433	UFD1L
71150437	RN7SKP75
58887403	ADAM10
38690874	RN7SL663P
128399917	LINC00507
71378723	RNA5SP232
107295061	EEF1B2P4
38785184	Y_RNA
7611204	FAM90A19P
142191056	TRBV6-6
71407244	GS1-111G14.1
21668238	LINC00641
38822274	AC026806.2
107304535	RPL30P12
58378406	CTD-2583A14.8
38839649	snoU13
71568166	ABCF2P2
107347807	RP11-412D9.4
142204064	TRBV5-5
38852435	AC005625.1
82814904	RP1-223D17.1
72138047	AC091738.2
107487076	RP11-797M17.1
45805342	TOE1
58379253	CTD-2583A14.11
83003833	TERF1P4
72162874	MIR4650-2
89402364	RP11-57C13.5
19144384	ARMC6
44088521	IRGQ
38876162	AC005789.9
142209379	TRBV6-7
107665171	SETP7
72187850	RP11-535E8.2
38888821	AC005789.11
77223458	PGAM4
111164114	COLCA1
72233812	RP11-1394O16.1
142213648	TRBV7-6
39017594	AC067969.1
26223196	MYO3A
30942199	C6orf205
89577685	CFL1P1
72293477	RN7SL377P
58464526	CTD-2583A14.1
16757249	COTL1P1
39026157	AC067969.2
4172554	UBE2G1
142221545	TRBV5-6
18658030	RS1
39086986	CTB-186G2.1
16796512	RP1-48J14.1
8071826	SLC2A3
72300004	SBDSP1
58523957	VN2R19P
142228898	TRBV6-8
89592578	RN7SL78P
58555960	LETM1P2
12115543	MICAL2
50184929	NCKAP5L
89638449	RP11-380G5.2
39174513	CTB-186G2.4
88985205	NUTM2A
58560414	HNRNPDLP4
16826229	TBC1D27
142233142	TRBV7-7
39228924	CTD-2540F13.2
89705259	RP11-380G5.3
58581338	RN7SL526P
111169565	COLCA2
58648080	CTD-2623H2.7
142241604	TRBV5-7
150547032	MCL1
207038699	IL20
9022275	SRGAP3
142248910	TRBV6-9
142253486	TRBV7-8
58677533	CTD-2619J13.1
72312017	RN7SL625P
1109264	TTLL10
71561644	COL13A1
72333321	SPDYE7P
2945775	CARD11
30089025	TRIM26
142261249	TRBV5-8
44100544	ZNF576
9854489	RP11-447B18.1
142270879	TRBV7-9
64937625	SPDYC
16879313	AC104024.1
51819935	EPS15
18647326	FBXW10
142277448	TRBV13
16891643	AC104024.2
161123270	PLG
46655612	TDRD6
60146003	MS4A14
107768524	SNORD74
16915228	RP11-416I2.1
107880288	RNA5SP371
142285819	TRBV10-3
110661852	CFI
136232087	SURF2
16979352	MPRIP-AS1
64358113	SLC22A12
11988748	AC096559.1
73262309	MIF4GD
142296465	TRBV11-3
17071260	RP11-45M22.3
1031252	AC009041.2
111222977	POU2AF1
72931814	OTOP3
17073397	RNU6-767P
142302038	TRBV12-3
17081729	RN7SL775P
230628554	TRIP12
66679155	MAP2K1
17138747	RP11-45M22.5
34901995	SPTSSA
1031808	SOX8
142305349	TRBV12-4
17145324	AC055811.5
131037658	SWI5
167453031	SERPINI1
21100593	TMEM11
103236166	SLC9A2
58727546	RPS15AP36
207070788	IL24
58735872	AC020915.2
89754375	SNORD74
89807892	MED6P1
33282183	ZBTB22
90345395	Y_RNA
58768639	CTD-3138B18.5
111497182	SNORA13
90377980	RPL7P34
90459440	RP11-186O14.7
123925577	OR10D5P
90487242	KRT8P38
64945077	AP003068.23
123964289	OR10D4P
34985135	EAPP
108003811	RP11-128P10.1
123975807	OR10N1P
124029128	OR10D1P
77320685	PGK1
8132490	RBMY2KP
58778001	CTD-3138B18.6
124077890	OR8F1P
17145878	AC055811.1
176788620	KIAA1715
1122756	SSTR5
27232268	PHF12
111509267	CTC-459M5.1
17286691	RPL13P12
124085346	OR8G3P
32991038	AC083863.5
17325995	AC073621.2
17721889	FGL1
33041562	RNU6-388P
58816715	ERVK3-1
33075824	AC074338.4
138543905	EEF1A1P25
108044566	Y_RNA
141371314	GNPDA1
97263641	VRK1
124095437	OR8G2P
108113376	RP11-864J10.2
33085412	RN7SL505P
30279144	MTMR3
10137250	CTD-2199O4.1
120105558	PRKAB1
33155178	snoU13
65675437	RP11-305O6.3
108130332	RP11-864J10.4
1140005	C1QTNF8
33168600	AC074338.5
138608097	ATP5G1P3
124109121	OR8G7P
33217352	RNA5SP229
65812511	KRT18P60
18694029	PPEF1
111527717	CTC-459M5.2
138654031	RP11-548O1.3
124143866	SLC5A4P1
124194767	OR8B7P
124208679	OR8B6P
24495595	CHST9
10195233	CTD-2199O4.3
116581503	FAM160B1
65860600	RP11-230G5.2
124227456	OR8B5P
138800496	RPL7L1P7
124235530	OR8B1P
138823027	BPESC1
124246773	OR8C1P
131062367	AL359091.2
10195299	CTD-2199O4.7
139067866	RP11-219D15.3
111563980	RP11-526F3.1
10201621	AC034229.1
139107119	RNU6-736P
38599188	RP11-266O15.4
182840001	LAMP3
38600033	RP11-266O15.3
139108657	RP11-319G6.1
24128375	HMGCL
42734155	CCDC13
10203712	CTD-2199O4.6
39287642	RNU6-140P
38668250	Y_RNA
39310806	AC104534.2
10248437	CTD-2256P15.1
62746538	RP13-104F24.3
38715368	AC117372.1
131071382	TRUB2
39335369	AC008982.2
38866646	AC087897.1
52289363	AC007333.1
39360799	CTC-360G5.6
52292476	RP11-142G1.2
111699153	CTC-470E21.1
202047604	CASP10
38926697	RP11-804F13.2
72394956	RP11-313P13.5
39425976	CTC-360G5.9
12170429	SNORD18
39521076	CTB-189B5.3
139185272	RP11-319G6.3
52586002	CASC16
10264709	CTD-2256P15.4
24424793	GPLD1
139212651	ACTG1P1
39540545	snoU13
21852451	RP11-524O1.4
39625522	CTC-218B8.3
81891438	PLAC9
36742345	SOHLH2
111788400	HMGB3P16
21860309	SNORD9
141607613	MGAM
39727073	IFNL3P1
12339256	MIR3681
21865451	SNORD8
72418120	NSUN5P2
68666223	MDM1
12551524	RNU6-843P
21867084	RP11-689J19.1
142322555	TRBV12-5
45809555	TESK2
39745556	MSRB1P1
52641261	RP11-297L17.2
21887779	EIF4EBP1P1
66384097	RBM14-RBM4
59063391	FAM63B
39755022	IFNL4P1
66782473	SNAPC5
21897669	RN7SL650P
142329504	TRBV14
10269601	CTD-2256P15.5
39805291	CTC-246B18.8
21152336	ANG
21989234	AE000658.22
4115937	RRM1
111882670	RP11-159K7.1
22031950	RBBP4P5
39832413	CTC-246B18.10
142334564	TRBV15
74347400	AFM
128425140	LINC00508
56732663	IL23A
22053414	AE000658.25
39859793	RN7SL566P
12739113	AC096559.2
38445526	TTC3
128508333	RP11-349K16.1
185699825	RN7SL637P
39900263	MIR4530
142339652	TRBV16
52641674	RP11-297L17.3
185796959	ETV5-AS1
39916575	CTB-60E11.4
41651716	TFEB
22070049	OR10G1P
23670185	AC010141.4
52656027	RP11-297L17.4
142343262	TRBV17
40023052	CTB-60E11.9
10292153	Y_RNA
109403631	RP11-10E6.1
17359741	TSEN15P1
186158134	RP11-78H24.1
40025103	TDGF1P7
109599275	EIF3IP1
22080078	AE000658.27
142357299	TRBV18
10337389	Y_RNA
182321929	ITGA4
128571530	RP13-653N12.1
109638491	RPL3P8
52689216	RP11-297L17.6
111964133	RP11-159K7.2
12855541	RP11-333O1.1
40043674	CTB-60E11.11
22117944	ARL6IP1P1
153618315	RPL10
110072296	AC003088.1
142360432	TRBV19
21152746	AL163636.6
55773599	HSPBP1
25530930	CDH2
22138203	OR4E1
40074682	CTB-60E11.12
110364215	AC073326.3
142368231	TRBV20-1
52968725	RP11-467J12.1
19174808	SLC25A42
10352813	CTD-2256P15.2
64854749	MTHFD1
110568374	AC005161.1
23693725	AC010141.6
66432469	RBM4B
110749324	snoU13
142387533	TRBV23-1
111034931	AC003989.3
21214051	EDDM3A
52976051	RP11-467J12.2
22167176	AE000658.30
128602762	RP13-653N12.2
33089852	SLC39A7
111051375	AC003989.4
142396838	TRBV24-1
64948037	CAPN1
22183018	AE000658.31
53044307	RP11-467J12.3
23717738	AC010141.8
111448572	DOCK4-AS1
22218553	RPL4P1
12877493	MIR3125
142406772	MTRNR2L6
112113327	CBX3P3
128729051	MIR4419B
53069602	RP11-467J12.4
29952206	TMEM219
142411213	TRBV25-1
112114060	RNU6-482P
37181818	RNU6-1301P
53202434	RP11-295M3.2
23745486	TTTY13
32070086	XXbac-BCX105D18.9
111593708	RNA5SP237
53284742	Y_RNA
111611277	AC003080.4
153191751	FMNL2
21236586	EDDM3B
128778637	MIR3612
142455848	TRBV27
13106910	AC064875.2
111322064	RP11-794P6.2
111928678	RN7SKP187
23793569	TCEB1P5
112220791	XBP1P1
34623842	CCL3L1
6748311	BMP2
111968244	AC004112.4
128882977	snoU13
128884523	RP11-553N19.1
207077731	FAIM3
23799361	CDY10P
120978854	TMEM185B
112012702	MTND5P8
33286335	DAXX
112229030	CTC-487M23.5
54814293	BOD1L2
112013788	AC004112.5
203776937	CARF
42460833	RABAC1
65339200	MAGI1
21249210	RNASE6
112014379	AC004112.7
111338251	BTG4
112086219	AC079741.2
128922323	RP11-428I12.1
137559725	CREB3L2
56735381	STAT2
30302488	TRIM39
112233720	CTC-487M23.7
23823812	USP9YP3
55018044	ST8SIA3
10441402	ROPN1L-AS1
112241335	AC008536.1
186172771	RP11-48F14.1
10479483	RP11-1C1.7
50231573	BCDIN3D
21269387	RNASE1
131084815	COQ4
10488932	RPL30P7
31853114	C2
129154425	AC107020.1
174156363	NAALADL2
129428819	RP11-753B7.2
120997640	RALB
112658725	CTD-2201G3.1
10493403	RP11-1C1.6
10493639	RP11-1C1.4
76969912	VDAC2
129497881	NLRP9P
74437267	RASSF6
36742931	CCDC169-SOHLH2
24171567	FUCA1
36267501	RNU6-489P
53332136	RP11-454F8.2
36333639	RP11-1407O15.3
1203241	CACNA1H
36387075	Y_RNA
13677798	AC092635.1
9404526	THUMPD3
36566042	RN7SL458P
112829532	RNU4ATAC13P
53368474	snoU13
44051792	ZNF239
53371365	RNA5SP427
19229978	TMEM161A
23839132	USP9YP8
124274130	OR8X1P
55102917	ONECUT2
53395931	RP11-44F14.4
36606638	AC124789.1
113391703	RP11-371M22.1
72440227	STAG3L3
62704534	RGS19
13850656	LINC00276
35030300	SNX6
124330430	OR8A2P
113589210	RN7SKP89
71330523	SDK2
124350895	OR8B9P
19375713	RPS6
129594174	RP11-669N7.2
53398894	RP11-44F14.1
124386207	OR8B10P
124401521	OR8A3P
113824694	RP11-492A10.1
124408396	RP11-728D14.6
50260679	FAIM2
10541568	AC112200.1
53407405	RP11-44F14.2
124471480	OR8Q1P
23858456	CDY11P
53420856	RP11-44F14.8
30557688	PPP1R10
186194516	RP11-48F14.2
124506355	RNA5SP352
64373646	NRXN2
124614530	RP11-677M14.2
10627372	ANKRD33B-AS1
186359299	RP11-134F2.2
53477140	RNU6-1153P
53482660	RP11-44F14.5
124629025	RP11-677M14.3
112212084	REEP5
186405118	RP11-795A2.2
124661124	RP11-677M14.6
13863173	AC016730.1
150573327	ENSA
186416309	RP11-795A2.3
124670346	RP11-677M14.7
113911738	CTC-313D10.1
59157374	RNF111
74756504	HTRA2
124677718	RP11-677M14.5
66452719	SPTBN2
114366970	RP11-438C19.2
186435038	RP11-573D15.8
124712964	AP000866.1
36801182	CCDC169
124753587	RP11-664I21.5
10652323	RP11-54F2.1
124958377	AP001007.1
114423589	RP11-438C19.1
29984962	TAOK2
55215515	FECH
124983057	KRT18P59
141457046	RNF7
10654332	RP11-215G15.5
111385510	C11orf88
67227250	CTD-2560C21.1
17780349	PCM1
161412759	MAP3K4
114484461	TRIM36-IT1
125002743	RP11-687M24.4
90545357	RCBTB2P1
185764097	ETV5
62711526	OPRL1
125028357	RP11-687M24.5
67435755	RP11-862P13.1
114524260	CTC-428G20.2
31974391	C4B
125058011	RP11-687M24.7
90636207	PTCD2P2
14414746	RNU6-1288P
67665779	RP11-125H8.1
114539713	CTC-428G20.3
129247483	RHO
67806785	Y_RNA
33316446	AC007312.3
44101855	ZNF485
14756552	AC011897.2
33419576	AC006195.2
33769904	RP11-89N17.2
21142183	C17orf103
114598202	CTC-428G20.6
